Post_ID,Platform,Topic,Post_Text,Likes,Shares,Sentiment,Date
82,0,4,10,1417,239,0,341
83,4,5,7,1093,225,1,267
84,2,2,24,3213,939,2,166
85,5,2,7,830,112,1,341
86,3,4,2,3208,661,2,331
87,4,1,25,727,227,1,352
88,5,2,19,1067,37,1,45
89,1,1,28,2045,456,0,329
90,3,3,14,718,32,0,250
91,4,3,19,339,94,1,257
92,5,3,23,3003,892,2,124
93,0,4,5,2327,68,2,196
94,5,4,11,775,250,1,218
95,3,4,1,4081,116,2,226
96,4,2,4,2649,355,0,219
97,1,4,25,1456,219,1,127
98,4,6,0,801,156,2,346
99,4,5,2,4334,233,2,13
100,3,6,6,4629,403,2,286
101,2,5,8,1200,860,2,65
102,1,6,15,1317,428,0,82
103,3,0,20,832,106,1,294
104,1,1,8,334,174,2,132
105,2,6,5,946,944,2,218
106,5,2,15,2001,37,0,246
107,1,4,29,2102,315,0,356
108,4,0,6,3430,670,2,261
109,4,6,18,113,197,1,308
110,4,0,6,797,804,2,249
111,0,2,16,755,255,0,122
112,4,5,11,429,135,1,169
113,5,4,16,2373,25,0,112
114,1,2,10,682,500,0,88
115,4,6,10,2120,128,0,238
116,4,3,7,1316,10,1,120
117,5,1,15,2464,93,0,227
118,0,3,24,4815,703,2,88
119,1,2,8,2826,311,2,26
120,4,0,15,1975,302,0,67
121,3,1,22,456,250,1,196
122,5,1,9,764,169,1,62
123,1,5,9,170,109,1,134
124,4,1,4,1182,663,0,346
125,2,5,18,1346,148,1,308
126,4,1,16,1374,364,0,195
127,0,2,16,2523,554,0,71
128,3,1,28,1691,44,0,357
129,0,2,22,465,87,1,62
130,0,2,16,2852,572,0,155
131,2,1,23,2388,541,2,71
132,1,4,22,379,149,1,323
133,1,3,18,447,229,1,234
134,1,1,25,158,70,1,325
135,3,1,19,1272,41,1,119
136,2,1,13,1140,594,0,275
137,3,1,18,255,188,1,350
138,1,1,22,847,201,1,193
139,4,1,23,741,916,2,310
140,4,6,27,346,28,0,134
141,1,0,28,665,496,0,241
142,2,5,3,757,259,2,33
143,4,1,2,4786,402,2,138
144,1,6,20,1355,17,1,238
145,1,4,4,1155,415,0,343
146,3,2,21,395,127,0,214
147,0,3,23,3193,492,2,137
148,1,3,2,2919,143,2,149
149,4,6,21,1450,443,0,94
150,0,4,0,943,882,2,41
151,3,3,26,401,502,2,10
152,2,6,9,342,143,1,331
153,4,6,22,601,281,1,196
154,1,0,25,725,244,1,179
155,1,0,9,296,74,1,222
156,0,0,27,1955,362,0,315
157,4,6,5,515,267,2,3
158,5,1,7,122,251,1,290
159,3,3,19,691,70,1,45
160,0,2,16,1832,375,0,82
161,1,3,14,268,406,0,202
162,3,3,19,955,269,1,111
163,1,1,16,2509,662,0,194
164,0,6,23,668,984,2,64
165,3,5,0,518,407,2,346
166,1,3,24,499,206,2,84
167,4,2,12,735,141,1,12
168,0,6,1,4605,88,2,121
169,5,2,15,1617,129,0,153
170,3,6,23,4277,852,2,1
171,3,0,9,1021,176,1,3
172,3,2,28,2189,458,0,132
173,2,5,1,3700,310,2,45
174,0,6,22,1005,197,1,8
175,0,5,2,1581,301,2,157
176,5,0,7,1311,7,1,352
177,1,2,22,631,201,1,38
178,1,2,24,2726,340,2,12
179,1,5,7,1089,184,1,207
180,0,2,27,1991,498,0,283
181,0,5,2,4935,505,2,205
182,4,3,10,680,528,0,21
183,1,4,24,4534,471,2,356
184,1,5,1,4675,852,2,237
185,5,6,23,1665,835,2,226
186,1,5,11,593,172,1,63
187,4,1,23,1879,595,2,335
188,4,4,17,147,257,1,256
189,3,0,0,4857,845,2,181
190,2,1,23,3267,167,2,317
191,0,0,19,233,236,1,349
192,5,5,16,1024,516,0,255
193,4,6,7,1112,30,1,86
194,2,5,26,2893,462,2,13
195,1,3,9,772,136,1,66
196,4,4,29,1442,358,0,163
197,0,5,15,597,284,0,159
198,4,1,22,1389,33,1,41
199,5,5,6,1369,868,2,92
200,0,2,15,2330,53,0,245
201,4,4,18,450,95,1,240
202,3,6,20,79,86,1,234
203,5,4,17,707,264,1,32
204,3,4,12,289,81,1,350
205,3,4,16,1418,579,0,123
206,3,2,0,2936,997,2,253
207,0,2,9,1017,261,1,24
208,2,2,5,953,968,2,326
209,3,4,13,443,563,0,19
210,1,3,26,350,992,2,291
211,1,5,21,341,476,0,64
212,3,5,3,4589,724,2,167
213,0,4,2,4885,972,2,305
214,1,2,26,4485,529,2,179
215,5,0,12,633,119,1,274
216,2,4,3,3540,894,2,327
217,0,3,29,1837,504,0,23
218,5,0,29,2301,244,0,343
219,1,2,15,2966,520,0,58
220,0,5,17,852,162,1,335
221,3,0,27,923,537,0,328
222,0,5,12,451,198,1,141
223,1,5,7,450,176,1,334
224,5,6,3,311,216,2,132
225,1,2,16,1176,635,0,132
226,3,1,0,218,383,2,222
227,0,0,11,1483,102,1,136
228,3,0,12,1367,75,1,336
229,4,1,17,126,9,1,206
230,1,0,15,2932,638,0,160
231,3,5,18,201,208,1,359
232,2,0,6,2469,471,2,365
233,2,1,29,1408,112,0,62
234,4,2,13,1094,445,0,278
235,3,6,16,1276,143,0,86
236,2,0,0,2804,393,2,337
237,0,0,22,1013,52,1,352
238,4,2,12,1328,185,1,347
239,1,1,26,3908,854,2,191
240,5,5,29,2634,553,0,91
241,5,3,15,2052,388,0,294
242,5,6,26,4225,112,2,298
243,2,5,8,3493,526,2,292
244,3,0,7,255,118,1,147
245,5,1,25,954,95,1,150
246,0,3,2,4273,354,2,109
247,2,4,19,570,70,1,233
248,2,0,9,113,24,1,72
249,4,1,28,1518,291,0,214
250,2,2,17,1069,92,1,155
251,4,3,27,546,347,0,334
252,3,4,10,2126,61,0,329
253,3,6,29,1985,100,0,64
254,0,0,4,960,36,0,156
255,0,1,1,777,504,2,104
256,4,0,16,2286,619,0,180
257,3,4,11,500,95,1,293
258,4,5,27,2397,140,0,31
259,3,5,12,1034,298,1,362
260,5,6,20,209,37,1,219
261,4,6,15,2838,61,0,255
262,5,4,17,1192,97,1,92
263,4,0,23,1652,116,2,120
264,2,2,18,115,129,1,173
265,4,6,28,2178,636,0,147
266,5,2,23,992,817,2,332
267,3,4,7,1446,239,1,64
268,2,5,29,2098,603,0,202
269,4,0,0,1043,287,2,188
270,3,3,10,2299,174,0,126
271,1,3,4,924,89,0,88
272,3,6,14,2663,651,0,234
273,5,4,4,1692,543,0,155
274,0,4,24,3580,983,2,63
275,2,1,1,2887,149,2,341
276,5,5,21,2257,209,0,175
277,5,6,22,710,16,1,325
278,3,3,2,3542,708,2,232
279,2,4,22,597,65,1,325
280,1,2,12,1215,283,1,45
281,1,0,20,782,88,1,163
282,1,1,1,878,537,2,10
283,1,6,12,806,265,1,345
284,3,4,0,879,736,2,101
285,4,1,2,1049,491,2,112
286,3,3,26,175,823,2,18
287,1,6,27,930,357,0,172
288,4,5,5,3671,418,2,135
289,0,6,8,3924,201,2,186
290,4,5,7,1038,139,1,56
291,4,6,8,1333,78,2,82
292,3,4,20,27,53,1,202
293,5,2,21,1147,678,0,33
294,5,3,5,1583,440,2,50
295,3,1,23,4847,83,2,134
296,1,1,4,880,24,0,33
297,0,0,6,2659,420,2,337
298,2,0,13,1119,234,0,295
299,1,2,4,1970,288,0,91
300,3,2,10,1052,60,0,320
301,5,6,23,3114,355,2,323
302,0,5,23,1283,855,2,59
303,2,5,7,418,203,1,249
304,3,6,18,1309,193,1,338
305,3,5,29,230,513,0,158
306,3,0,20,571,163,1,317
307,4,1,6,2572,871,2,194
308,1,1,2,3236,469,2,334
309,4,4,16,1970,375,0,45
310,5,5,4,1104,246,0,147
311,1,2,10,315,538,0,67
312,4,4,27,1082,276,0,150
313,5,5,23,4559,255,2,305
314,1,1,14,2430,405,0,190
315,4,3,2,1033,559,2,280
316,4,2,29,1077,77,0,85
317,4,0,1,3300,96,2,26
318,4,0,0,2260,595,2,166
319,0,3,23,2538,288,2,79
320,4,3,21,2374,139,0,318
321,4,3,20,1459,156,1,186
322,0,3,14,1702,213,0,207
323,2,5,14,333,196,0,119
324,0,4,5,3661,218,2,115
325,5,4,20,1367,76,1,313
326,0,0,29,1859,116,0,50
327,3,5,8,2549,495,2,350
328,3,6,16,245,515,0,217
329,3,6,18,1412,134,1,252
330,4,0,11,1266,284,1,362
331,4,1,25,1174,110,1,178
332,1,6,20,1464,202,1,320
333,3,6,29,2460,165,0,44
334,0,5,20,844,118,1,76
335,4,3,2,1106,270,2,194
336,4,0,26,4597,177,2,228
337,4,4,3,1212,846,2,22
338,1,1,26,4691,69,2,3
339,3,5,3,4536,359,2,303
340,3,5,8,4187,649,2,161
341,5,1,10,1438,347,0,179
342,5,4,25,288,236,1,211
343,4,5,3,568,631,2,2
344,4,3,17,557,143,1,310
345,3,1,24,4921,329,2,239
346,1,3,12,1474,160,1,25
347,4,3,10,2164,445,0,280
348,0,1,9,1297,214,1,127
349,0,1,9,1485,258,1,199
350,4,2,14,2085,419,0,31
351,1,5,21,2912,111,0,136
352,4,3,14,1067,525,0,296
353,4,6,23,454,214,2,122
354,0,0,26,628,576,2,18
355,1,5,7,1435,271,1,65
356,2,1,18,974,32,1,9
357,1,0,18,899,219,1,89
358,2,6,8,1962,668,2,302
359,4,2,11,825,159,1,13
360,2,2,13,703,98,0,338
361,1,1,17,1202,69,1,123
362,0,6,24,2543,77,2,238
363,1,2,11,275,136,1,92
364,5,1,10,2495,61,0,171
365,1,2,17,1160,99,1,255
366,1,1,15,1256,403,0,263
367,3,6,0,311,728,2,133
368,3,4,27,1420,188,0,61
369,5,0,18,562,37,1,112
370,4,2,16,388,117,0,303
371,0,5,1,1848,825,2,103
372,5,5,18,1245,266,1,294
373,4,6,6,2325,434,2,259
374,3,0,21,2559,422,0,210
375,3,5,10,2627,598,0,172
376,4,5,24,4612,403,2,239
377,3,3,27,656,558,0,51
378,1,1,24,4002,834,2,191
379,2,1,18,485,84,1,111
380,5,3,0,4762,608,2,90
381,2,5,21,2864,178,0,177
382,3,2,16,1745,281,0,149
383,1,0,10,895,192,0,3
384,3,1,14,1401,462,0,84
385,2,6,1,3532,62,2,261
386,0,4,14,341,225,0,351
387,0,5,25,193,286,1,252
388,1,1,16,1172,329,0,135
389,2,6,11,1223,45,1,294
390,4,0,14,1523,655,0,188
391,2,5,10,242,602,0,147
392,3,0,16,984,535,0,250
393,2,6,18,790,77,1,316
394,1,6,19,1305,115,1,321
395,3,3,18,357,132,1,65
396,5,3,24,2767,72,2,267
397,0,2,26,1952,653,2,358
398,1,6,8,2747,509,2,208
399,0,4,10,625,558,0,136
400,1,5,8,1567,474,2,149
401,0,1,19,501,39,1,68
402,0,6,1,960,55,2,218
403,5,2,18,1219,160,1,302
404,4,4,17,1231,229,1,2
405,1,4,11,883,138,1,248
406,2,0,13,1215,412,0,173
407,4,5,26,3602,344,2,155
408,5,0,7,417,59,1,258
409,0,5,2,3494,141,2,305
410,4,2,17,499,99,1,195
411,0,4,1,4463,569,2,110
412,1,2,24,4047,220,2,157
413,3,5,7,930,82,1,115
414,1,1,6,4487,660,2,99
415,3,0,11,18,103,1,94
416,2,4,22,842,29,1,189
417,1,3,13,758,43,0,111
418,1,1,20,1460,134,1,64
419,2,6,11,962,260,1,332
420,4,4,9,785,28,1,166
421,0,6,12,1350,57,1,19
422,3,3,7,363,99,1,333
423,5,3,12,970,187,1,312
424,4,3,26,4952,715,2,250
425,4,1,20,412,183,1,314
426,2,6,4,2471,563,0,171
427,2,0,1,3596,544,2,357
428,0,1,7,458,218,1,216
429,4,0,4,1947,100,0,292
430,1,4,3,4451,812,2,278
431,4,0,1,3073,533,2,138
432,0,5,13,2798,159,0,344
433,5,4,13,1420,80,0,207
434,1,4,24,387,734,2,78
435,4,3,16,144,400,0,152
436,0,1,11,1235,96,1,331
437,1,2,11,1147,186,1,2
438,5,2,22,131,204,1,324
439,2,6,22,1487,78,1,297
440,0,3,7,1104,224,1,217
441,1,3,4,1486,67,0,35
442,1,6,17,467,49,1,263
443,2,0,21,2922,188,0,100
444,3,0,3,4058,323,2,361
445,1,6,12,795,92,1,233
446,4,1,28,2199,82,0,176
447,5,6,13,2134,644,0,108
448,5,5,0,1345,183,2,128
449,5,6,20,755,119,1,312
450,3,0,10,954,689,0,63
451,0,5,22,920,162,1,214
452,0,0,10,1612,592,0,2
453,5,3,2,3797,701,2,84
454,1,3,17,756,179,1,152
455,2,2,24,4003,169,2,292
456,5,2,19,1248,283,1,212
457,3,4,21,977,420,0,239
458,2,1,4,1739,488,0,86
459,3,6,9,993,250,1,299
460,5,5,12,60,84,1,131
461,3,0,6,3226,887,2,266
462,1,5,28,2711,193,0,265
463,0,6,20,1372,193,1,28
464,5,6,11,1226,278,1,344
465,0,1,2,295,499,2,238
466,2,5,22,1020,271,1,60
467,0,3,1,238,705,2,6
468,5,2,25,233,248,1,257
469,4,5,26,2010,816,2,325
470,5,0,1,2892,610,2,302
471,2,2,27,207,632,0,27
472,4,1,29,618,66,0,143
473,0,4,20,1048,181,1,263
474,2,3,17,672,280,1,58
475,3,0,9,46,70,1,118
476,5,4,11,756,65,1,201
477,2,4,7,1461,245,1,86
478,1,6,23,228,714,2,291
479,0,0,9,375,299,1,362
480,2,5,12,803,178,1,130
481,5,4,4,2306,334,0,231
482,0,3,10,2843,537,0,161
483,0,2,25,1357,67,1,284
484,3,0,10,1614,237,0,3
485,5,6,22,1109,283,1,47
486,4,4,14,777,322,0,352
487,5,3,29,486,624,0,156
488,2,2,29,1089,29,0,332
489,4,6,5,773,412,2,102
490,5,4,2,3923,195,2,301
491,2,1,21,1274,301,0,1
492,0,3,5,946,996,2,98
493,0,1,19,1383,173,1,282
494,4,2,13,731,146,0,71
495,5,5,18,441,278,1,6
496,3,5,11,1158,264,1,302
497,4,4,0,4276,862,2,173
498,4,5,4,999,190,0,78
499,2,2,23,1247,709,2,195
500,5,0,0,4142,939,2,324
501,1,6,16,2332,161,0,217
502,2,6,13,2855,438,0,212
503,3,5,5,2775,129,2,69
504,2,3,28,2749,260,0,232
505,4,0,16,1056,191,0,49
506,3,4,19,637,234,1,70
507,5,6,16,2353,63,0,78
508,3,3,27,2827,225,0,158
509,5,0,18,434,85,1,255
510,4,0,4,40,47,0,99
511,4,2,4,1986,332,0,98
512,2,1,16,615,122,0,114
513,4,2,17,687,61,1,124
514,1,4,29,67,645,0,96
515,1,6,9,982,148,1,70
516,5,6,12,692,122,1,63
517,1,1,29,731,10,0,342
518,2,2,19,1115,65,1,309
519,3,3,1,3429,343,2,206
520,3,6,21,792,637,0,126
521,4,4,20,387,246,1,218
522,2,3,12,859,90,1,59
523,2,0,22,499,108,1,225
524,5,4,25,464,66,1,212
525,5,4,22,500,114,1,75
526,3,4,23,3794,359,2,223
527,3,2,22,33,252,1,214
528,4,1,19,1131,85,1,209
529,2,5,7,1175,58,1,305
530,0,0,22,766,212,1,20
531,2,5,9,119,190,1,204
532,4,4,8,3033,335,2,53
533,2,2,14,661,319,0,176
534,0,3,18,297,150,1,157
535,5,6,21,380,362,0,107
536,3,4,7,1431,185,1,362
537,4,5,29,2440,459,0,306
538,5,2,15,1187,582,0,15
539,2,6,27,495,54,0,310
540,0,0,21,894,511,0,53
541,1,0,1,1580,153,2,60
542,4,6,8,4931,411,2,134
543,1,1,12,157,146,1,294
544,1,3,15,857,174,0,65
545,4,5,1,4573,360,2,106
546,3,2,0,1692,696,2,33
547,2,2,11,428,251,1,281
548,4,2,16,1519,363,0,151
549,5,0,17,407,88,1,107
550,1,3,24,4373,121,2,15
551,0,3,10,2490,564,0,351
552,4,4,0,1865,607,2,30
553,4,6,14,1188,159,0,94
554,5,3,17,562,213,1,155
555,1,3,14,1874,591,0,253
556,0,2,18,1444,161,1,347
557,5,2,13,1907,660,0,294
558,4,0,3,4486,421,2,227
559,0,3,19,1296,75,1,214
560,4,6,8,4672,430,2,29
561,4,6,4,463,217,0,153
562,5,2,20,1124,260,1,148
563,2,0,1,170,261,2,42
564,2,0,23,213,243,2,311
565,3,0,3,759,889,2,277
566,5,6,3,3940,643,2,342
567,2,4,20,328,225,1,224
568,4,3,4,150,277,0,133
569,2,4,4,2295,580,0,240
570,1,4,3,3156,385,2,110
571,0,2,20,739,222,1,26
572,0,6,3,1067,980,2,345
573,2,4,5,2034,964,2,253
574,0,5,6,4256,366,2,224
575,2,1,16,657,506,0,272
576,5,4,27,1166,235,0,319
577,5,0,0,4537,134,2,87
578,5,4,5,4568,739,2,206
579,0,6,28,2896,615,0,59
580,5,5,20,1339,162,1,349
581,0,2,20,566,14,1,139
582,3,2,27,1620,456,0,200
583,3,1,17,340,98,1,263
584,5,4,20,1392,280,1,208
585,0,5,25,1126,86,1,148
586,5,3,10,374,266,0,116
587,1,0,2,3195,913,2,320
588,4,4,5,4495,233,2,264
589,4,3,11,278,239,1,316
590,4,6,3,4695,726,2,33
591,0,4,7,592,233,1,83
592,1,2,20,293,228,1,11
593,0,2,22,468,38,1,353
594,4,6,5,3918,354,2,214
595,0,4,5,4885,642,2,195
596,2,1,0,3490,345,2,334
597,0,4,27,393,166,0,38
598,0,0,13,1220,159,0,116
599,1,3,29,1836,150,0,11
600,1,4,28,2001,54,0,195
601,3,3,11,1265,119,1,66
602,1,0,12,765,157,1,293
603,3,5,18,920,43,1,164
604,2,6,2,239,297,2,40
605,1,4,13,466,668,0,145
606,5,4,10,792,655,0,197
607,1,5,1,2410,374,2,322
608,3,4,10,2068,567,0,153
609,1,1,22,1106,154,1,1
610,4,3,24,4913,628,2,160
611,0,4,15,2683,671,0,347
612,5,4,25,1436,231,1,343
613,0,0,25,584,279,1,304
614,2,2,23,858,428,2,179
615,0,3,24,2051,141,2,59
616,2,4,2,956,779,2,142
617,5,2,12,978,282,1,304
618,4,6,9,1233,94,1,210
619,1,0,29,2380,236,0,202
620,2,5,18,198,264,1,129
621,4,0,14,2617,694,0,162
622,4,5,10,2392,426,0,119
623,0,6,10,2591,303,0,166
624,2,5,6,2067,987,2,138
625,0,5,1,3554,827,2,179
626,1,0,5,2661,465,2,199
627,2,6,0,4005,972,2,365
628,2,0,6,3296,697,2,118
629,3,5,8,782,873,2,120
630,2,2,18,805,95,1,154
631,4,0,3,860,330,2,60
632,4,1,9,918,16,1,235
633,1,2,8,1311,342,2,132
634,0,1,2,517,440,2,136
635,5,3,24,322,438,2,187
636,3,4,13,817,344,0,240
637,3,3,13,2451,35,0,347
638,0,4,14,992,234,0,109
639,1,0,1,3416,455,2,50
640,3,0,19,1460,60,1,73
641,0,6,28,2755,49,0,226
642,1,6,28,2888,203,0,2
643,0,5,24,3638,410,2,28
644,3,6,21,2043,485,0,222
645,3,6,25,1030,180,1,9
646,3,2,15,1943,222,0,33
647,3,6,1,1041,135,2,84
648,0,3,7,182,220,1,229
649,5,4,25,1385,77,1,188
650,3,3,3,3189,835,2,44
651,4,4,29,729,639,0,252
652,3,2,5,3708,738,2,172
653,4,4,14,1758,368,0,132
654,0,4,8,865,299,2,50
655,0,4,0,1879,326,2,0
656,4,2,24,3751,96,2,182
657,5,6,0,3048,691,2,284
658,2,6,12,76,149,1,26
659,3,3,26,3373,89,2,106
660,3,1,4,2550,202,0,232
661,4,4,19,1400,194,1,205
662,3,6,29,1369,214,0,186
663,0,4,16,2334,675,0,292
664,2,0,15,1836,396,0,23
665,3,2,26,3237,618,2,129
666,4,3,25,1331,202,1,216
667,2,1,21,1539,680,0,273
668,2,2,29,2440,469,0,322
669,3,4,0,3605,656,2,292
670,4,6,9,463,249,1,172
671,1,1,22,53,37,1,54
672,0,4,0,3866,559,2,86
673,5,4,22,1215,40,1,178
674,1,0,29,486,179,0,316
675,5,0,8,3067,744,2,6
676,2,2,3,2019,496,2,277
677,1,4,12,1478,169,1,267
678,3,1,3,4920,406,2,23
679,1,6,8,4620,943,2,148
680,3,3,27,1279,469,0,77
681,1,0,9,754,183,1,74
682,4,4,2,2878,697,2,121
683,1,1,20,929,117,1,71
684,0,1,15,2282,572,0,329
685,3,2,14,1553,672,0,296
686,5,1,8,1594,211,2,88
687,3,1,1,1831,796,2,40
688,2,4,13,2613,286,0,334
689,0,3,17,1031,45,1,248
690,2,5,19,1246,256,1,344
691,4,2,10,79,330,0,2
692,5,2,14,1883,393,0,281
693,0,1,9,581,258,1,267
694,2,6,29,1724,242,0,342
695,4,0,11,1244,201,1,54
696,1,1,19,199,261,1,41
697,5,5,7,239,89,1,229
698,1,0,20,426,204,1,1
699,0,1,26,1291,523,2,183
700,2,0,26,1653,802,2,21
701,1,0,9,334,141,1,179
702,4,0,6,2602,553,2,284
703,4,2,24,1706,619,2,210
704,3,3,25,139,280,1,206
705,5,3,13,1622,193,0,261
706,0,1,14,264,306,0,263
707,1,4,1,2979,882,2,34
708,1,2,8,1073,659,2,28
709,5,4,22,853,80,1,61
710,3,1,7,1034,177,1,14
711,1,1,2,4529,133,2,122
712,1,5,1,2089,245,2,201
713,0,5,17,1274,204,1,23
714,2,0,29,1892,221,0,224
715,4,5,28,1934,254,0,171
716,1,3,15,826,274,0,50
717,2,2,8,1592,308,2,51
718,2,0,5,2343,432,2,99
719,1,3,21,2752,30,0,179
720,3,1,11,1334,281,1,251
721,2,5,20,1001,26,1,184
722,5,5,1,4821,473,2,35
723,3,5,10,1143,115,0,170
724,4,5,8,1503,584,2,153
725,4,6,6,3875,252,2,78
726,3,4,21,2134,441,0,45
727,5,6,6,370,384,2,188
728,2,3,19,127,73,1,18
729,1,5,11,414,242,1,252
730,3,3,9,867,187,1,212
731,4,0,25,145,50,1,86
732,4,1,21,480,502,0,158
733,3,3,6,4840,441,2,311
734,1,1,26,1449,624,2,76
735,3,3,29,2661,94,0,175
736,2,4,16,1428,86,0,353
737,2,6,14,2340,367,0,288
738,2,3,20,387,195,1,61
739,5,6,8,4448,626,2,270
740,1,0,6,3009,97,2,286
741,1,1,18,396,144,1,171
742,1,5,2,3676,862,2,341
743,3,4,14,933,211,0,210
744,4,3,22,1121,39,1,86
745,1,1,19,822,239,1,205
746,4,3,7,289,244,1,71
747,5,0,27,1981,370,0,153
748,3,2,5,629,668,2,108
749,4,5,7,852,201,1,115
750,2,0,13,2355,695,0,109
751,4,5,27,870,148,0,33
752,0,1,24,656,538,2,248
753,4,3,12,247,206,1,55
754,4,5,2,1448,273,2,355
755,2,0,9,461,72,1,252
756,5,1,25,1186,243,1,7
757,3,3,6,1795,276,2,25
758,1,1,1,2160,356,2,51
759,0,3,22,1207,157,1,257
760,5,4,12,95,106,1,56
761,5,3,21,1398,154,0,202
762,2,4,22,367,95,1,353
763,1,3,28,1115,334,0,66
764,2,6,20,290,199,1,202
765,1,1,4,1503,210,0,343
766,5,3,26,3049,187,2,241
767,1,4,1,4084,669,2,243
768,0,5,3,720,506,2,32
769,4,0,18,144,35,1,286
770,5,4,20,1498,161,1,55
771,1,1,25,1339,88,1,295
772,3,0,25,1381,37,1,93
773,3,4,16,814,344,0,292
774,1,0,27,1336,534,0,27
775,4,2,3,3077,571,2,112
776,3,1,5,410,882,2,114
777,0,5,13,813,325,0,207
778,3,1,1,4933,285,2,216
779,5,2,24,445,222,2,152
780,3,1,8,228,625,2,16
781,5,4,22,1159,126,1,16
782,3,6,15,1780,78,0,299
783,1,3,26,133,319,2,277
784,5,4,9,464,49,1,286
785,3,1,18,735,29,1,270
786,3,2,23,4827,352,2,219
787,4,4,26,736,483,2,254
788,3,1,25,1391,130,1,261
789,4,1,3,3514,145,2,262
790,1,6,0,2669,294,2,90
791,4,0,6,3737,75,2,251
792,4,2,6,119,519,2,255
793,1,4,26,2219,74,2,173
794,4,4,29,1512,535,0,139
795,5,4,16,2619,409,0,103
796,0,4,10,2220,215,0,246
797,5,6,5,1365,735,2,206
798,3,2,13,1482,484,0,179
799,1,0,22,1051,255,1,100
800,3,3,3,4156,417,2,218
801,0,5,15,2929,624,0,111
802,0,1,19,1374,281,1,17
803,4,5,27,2871,506,0,329
804,2,5,8,1001,814,2,102
805,0,2,1,2826,810,2,155
806,0,5,7,454,72,1,142
807,5,6,8,642,499,2,281
808,1,4,18,608,13,1,263
809,5,3,0,3523,712,2,10
810,1,0,24,362,134,2,334
811,0,4,19,266,135,1,133
812,4,2,29,2761,547,0,61
813,3,5,21,1839,40,0,119
814,5,4,7,257,132,1,216
815,4,0,27,714,133,0,304
816,2,3,7,879,227,1,286
817,0,5,6,3103,72,2,176
818,3,6,13,2118,411,0,1
819,2,2,16,595,631,0,280
820,0,1,18,240,14,1,216
821,4,5,28,454,365,0,72
822,2,4,28,46,341,0,250
823,0,6,17,80,85,1,20
824,0,5,5,3111,508,2,250
825,0,6,20,1094,86,1,317
826,5,5,24,2082,622,2,234
827,3,2,15,1016,181,0,245
828,3,4,3,3896,728,2,251
829,2,3,12,232,130,1,83
830,1,4,4,2419,20,0,342
831,0,2,4,2263,673,0,219
832,5,2,18,964,233,1,282
833,2,6,27,535,472,0,176
834,0,1,26,259,272,2,330
835,1,6,21,821,146,0,102
836,1,6,17,1466,207,1,115
837,0,0,13,2839,287,0,161
838,1,6,5,593,120,2,232
